漢字,臺灣台語羅馬字
二十三兆,jī-tsa̍p-sann-tiāu
二十四兆,jī-tsa̍p-sì-tiāu
二十五兆,jī-tsa̍p-gōo-tiāu
二十六兆,jī-tsa̍p-la̍k-tiāu
二十七兆,jī-tsa̍p-tshit-tiāu
二十八兆,jī-tsa̍p-peh-tiāu
二十九兆,jī-tsa̍p-káu-tiāu
二十兆,lī-tsa̍p-tiāu
二十一兆,lī-tsa̍p-it-tiāu
二十二兆,lī-tsa̍p-lī-tiāu
二十三兆,lī-tsa̍p-sann-tiāu
二十四兆,lī-tsa̍p-sì-tiāu
二十五兆,lī-tsa̍p-gōo-tiāu
二十六兆,lī-tsa̍p-la̍k-tiāu
二十七兆,lī-tsa̍p-tshit-tiāu
二十八兆,lī-tsa̍p-pueh-tiāu
二十九兆,lī-tsa̍p-káu-tiāu
三十兆,sann-tsa̍p-tiāu
三十一兆,sann-tsa̍p-it-tiāu
三十二兆,sann-tsa̍p-jī-tiāu
三十二兆,sann-tsa̍p-lī-tiāu
三十三兆,sann-tsa̍p-sann-tiāu
三十四兆,sann-tsa̍p-sì-tiāu
三十五兆,sann-tsa̍p-gōo-tiāu
三十六兆,sann-tsa̍p-la̍k-tiāu
三十七兆,sann-tsa̍p-tshit-tiāu
三十八兆,sann-tsa̍p-peh-tiāu
三十八兆,sann-tsa̍p-pueh-tiāu
三十九兆,sann-tsa̍p-káu-tiāu
四十兆,sì-tsa̍p-tiāu
四十一兆,sì-tsa̍p-it-tiāu
四十二兆,sì-tsa̍p-jī-tiāu
四十二兆,sì-tsa̍p-lī-tiāu
四十三兆,sì-tsa̍p-sann-tiāu
四十四兆,sì-tsa̍p-sì-tiāu
四十五兆,sì-tsa̍p-gōo-tiāu
四十六兆,sì-tsa̍p-la̍k-tiāu
四十七兆,sì-tsa̍p-tshit-tiāu
四十八兆,sì-tsa̍p-peh-tiāu
四十八兆,sì-tsa̍p-pueh-tiāu
四十九兆,sì-tsa̍p-káu-tiāu
