漢字,臺灣台語羅馬字
西屯,Sai-tūn
南屯,Lâm-tūn
太平,Thài-phîng
大里,Tāi-lí
霧峰,Bū-hong
烏日,Oo-ji̍t
豐原,Hong-guân
后里,Āu-lí
石岡,Tsio̍h-kng
東勢,Tang-sì
和平,Hô-pîng
新社,Sin-siā
潭子,Thâm-tsú
大雅,Tāi-ngé
神岡,Sin-kóng
新廣,Sin-kóng
大肚,Tuā-tōo
沙鹿,Sua-lak
沙轆,Sua-lak
龍井,Liông-tsénn
龍井,Liông-tsínn
龍井,Lîng-tsénn
龍井,Lîng-tsínn
梧棲,Gōo-tshe
五汊,Gōo-tshe
清水,Tshing-tsuí
清水,Tshing-suí
大甲,Tāi-kah
外埔,Guā-poo
大安,Tāi-an
中西,Tiong-se
安平,An-pîng
安南,An-lâm
永康,Íng-khong
歸仁,Kui-jîn
新化,Sin-huà
左鎮,Tsó-tìn
玉井,Gio̍k-tsénn
楠西,Lâm-se
南化,Lâm-huà
仁德,Jîn-tik
關廟,Kuan-biō
龍崎,Liông-kiā
官田,Kuann-tiān
官佃,Kuann-tiān
麻豆,Muâ-tāu
佳里,Ka-lí
西港,Sai-káng
七股,Tshit-kóo
將軍,Tsiong-kun
學甲,Ha̍k-kah
北門,Pak-mn̂g
新營,Sin-iânn
後壁,Āu-piah
白河,Pe̍h-hô
東山,Tong-san
六甲,La̍k-kah
下營,Ē-iânn
柳營,Liú-iânn
鹽水,Kiâm-tsuí
鹹水,Kiâm-tsuí
善化,Siān-huà
大內,Tuā-lāi
山上,San-siōng
新市,Sin-tshī
安定,An-tīng
新興,Sin-hing
前金,Tsiân-kim
苓雅,Lîng-ngá
鹽埕,Iâm-tiânn
鼓山,Kóo-san
旗津,Kî-tin
前鎮,Tsiân-tìn
三民,Sam-bîn
楠梓,Lâm-tsú
小港,Sió-káng
左營,Tsó-iânn
仁武,Jîn-bú
大社,Tuā-siā
岡山,Kong-san
路竹,Lōo-tik
阿蓮,A-lian
阿嗹,A-lian
田寮,Tshân-liâu
燕巢,Iàn-tsâu
橋頭,Kiô-thâu
梓官,Tsú-kuann
彌陀,Mî-tô
永安,Íng-an
湖內,Ôo-lāi
鳳山,Hōng-suann
大寮,Tuā-liâu
林園,Lîm-hn̂g
林園,Lîm-mn̂g
鳥松,Tsiáu-tshîng
鳥榕,Tsiáu-tshîng
大樹,Tuā-tshiū
旗山,Kî-san
美濃,Bi-long
瀰濃,Bi-long
六龜,La̍k-ku
內門,Lāi-bûn
杉林,Sam-nâ
甲仙,Kah-sian
桃源,Thô-guân
那瑪夏,Na-má-siah
茂林,Bōo-lîm
茄萣,Ka-tiann
臺北,Tâi-pak
基隆,Ke-lâng
新北,Sin-pak
宜蘭,Gî-lân
新竹,Sin-tik
竹北,Tik-pak
桃園,Thô-hn̂g
頭份,Thâu-hūn
苗栗,Biâu-li̍k
臺中,Tâi-tiong
彰化,Tsiong-huà
彰化,Tsiang-huà
員林,Uân-lîm
南投,Lâm-tâu
嘉義,Ka-gī
太保,Thài-pó
朴子,Phoh-tsú
斗六,Táu-la̍k
臺南,Tâi-lâm
高雄,Ko-hiông
馬公,Má-king
媽宮,Má-king
屏東,Pîn-tong
臺東,Tâi-tang
花蓮,Hua-liân
頭城,Thâu-siânn
羅東,Lô-tong
蘇澳,Soo-ò
新埔,Sin-poo
關西,Kuan-se
竹東,Tik-tang
竹南,Tik-lâm
後龍,Āu-lâng
後壠,Āu-lâng
通霄,Thong-siau
苑裡,Uán-lí
卓蘭,Tà-lân
卓蘭,Tánn-lân
鹿港,Lo̍k-káng
和美,Hô-bí
溪湖,Khe-ôo
田中,Tiân-tiong
北斗,Pó-táu
寶斗,Pó-táu
二林,Jī-lîm
草屯,Tsháu-tùn
埔里,Poo-lí
集集,Tsi̍p-tsi̍p
竹山,Tik-san
大林,Tuā-nâ
布袋,Pòo-tē
斗南,Táu-lâm
虎尾,Hóo-bué
土庫,Thôo-khòo
西螺,Sai-lê
北港,Pak-káng
潮州,Tiô-tsiu
東港,Tang-káng
恆春,Hîng-tshun
關山,Kuan-san
成功,Sîng-kong
鳳林,Hōng-lîm
玉里,Gio̍k-lí
金沙,Kim-sua
金湖,Kim-ôo
金城,Kim-siânn
